run_id,sample_id,forward,reverse
AN00009242,202306753,/n/groups/kwon/joseph/projects/download/AN00009242/202306753/202306753_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306753/202306753_2.fastq.gz
AN00009242,202306784,/n/groups/kwon/joseph/projects/download/AN00009242/202306784/202306784_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306784/202306784_2.fastq.gz
AN00009242,202306797,/n/groups/kwon/joseph/projects/download/AN00009242/202306797/202306797_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306797/202306797_2.fastq.gz
AN00009242,202306819,/n/groups/kwon/joseph/projects/download/AN00009242/202306819/202306819_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306819/202306819_2.fastq.gz
AN00009242,202306837,/n/groups/kwon/joseph/projects/download/AN00009242/202306837/202306837_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306837/202306837_2.fastq.gz
AN00009242,202306873,/n/groups/kwon/joseph/projects/download/AN00009242/202306873/202306873_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306873/202306873_2.fastq.gz
AN00009242,202306887,/n/groups/kwon/joseph/projects/download/AN00009242/202306887/202306887_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306887/202306887_2.fastq.gz
AN00009242,202306903,/n/groups/kwon/joseph/projects/download/AN00009242/202306903/202306903_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306903/202306903_2.fastq.gz
AN00009242,202306922,/n/groups/kwon/joseph/projects/download/AN00009242/202306922/202306922_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306922/202306922_2.fastq.gz
AN00009242,202306939,/n/groups/kwon/joseph/projects/download/AN00009242/202306939/202306939_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306939/202306939_2.fastq.gz
AN00009242,202306945,/n/groups/kwon/joseph/projects/download/AN00009242/202306945/202306945_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306945/202306945_2.fastq.gz
AN00009242,202306954,/n/groups/kwon/joseph/projects/download/AN00009242/202306954/202306954_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306954/202306954_2.fastq.gz
AN00009242,202306973,/n/groups/kwon/joseph/projects/download/AN00009242/202306973/202306973_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306973/202306973_2.fastq.gz
AN00009242,202306978,/n/groups/kwon/joseph/projects/download/AN00009242/202306978/202306978_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306978/202306978_2.fastq.gz
AN00009242,202306994,/n/groups/kwon/joseph/projects/download/AN00009242/202306994/202306994_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306994/202306994_2.fastq.gz
AN00009242,202307004,/n/groups/kwon/joseph/projects/download/AN00009242/202307004/202307004_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307004/202307004_2.fastq.gz
AN00009242,202307029,/n/groups/kwon/joseph/projects/download/AN00009242/202307029/202307029_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307029/202307029_2.fastq.gz
AN00009242,202307054,/n/groups/kwon/joseph/projects/download/AN00009242/202307054/202307054_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307054/202307054_2.fastq.gz
AN00009242,202307059,/n/groups/kwon/joseph/projects/download/AN00009242/202307059/202307059_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307059/202307059_2.fastq.gz
AN00009242,202307066,/n/groups/kwon/joseph/projects/download/AN00009242/202307066/202307066_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307066/202307066_2.fastq.gz
AN00009242,202307078,/n/groups/kwon/joseph/projects/download/AN00009242/202307078/202307078_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307078/202307078_2.fastq.gz
AN00009242,202307080,/n/groups/kwon/joseph/projects/download/AN00009242/202307080/202307080_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307080/202307080_2.fastq.gz
AN00009242,202307096,/n/groups/kwon/joseph/projects/download/AN00009242/202307096/202307096_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307096/202307096_2.fastq.gz
AN00009242,202307099,/n/groups/kwon/joseph/projects/download/AN00009242/202307099/202307099_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307099/202307099_2.fastq.gz
AN00009242,202307107,/n/groups/kwon/joseph/projects/download/AN00009242/202307107/202307107_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307107/202307107_2.fastq.gz
AN00009242,202307124,/n/groups/kwon/joseph/projects/download/AN00009242/202307124/202307124_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307124/202307124_2.fastq.gz
AN00009242,202307135,/n/groups/kwon/joseph/projects/download/AN00009242/202307135/202307135_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307135/202307135_2.fastq.gz
AN00009242,202307146,/n/groups/kwon/joseph/projects/download/AN00009242/202307146/202307146_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307146/202307146_2.fastq.gz
AN00009242,202307153,/n/groups/kwon/joseph/projects/download/AN00009242/202307153/202307153_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307153/202307153_2.fastq.gz
AN00009242,202307160,/n/groups/kwon/joseph/projects/download/AN00009242/202307160/202307160_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307160/202307160_2.fastq.gz
AN00009242,202307163,/n/groups/kwon/joseph/projects/download/AN00009242/202307163/202307163_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307163/202307163_2.fastq.gz
AN00009242,202307167,/n/groups/kwon/joseph/projects/download/AN00009242/202307167/202307167_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307167/202307167_2.fastq.gz
AN00009242,202307171,/n/groups/kwon/joseph/projects/download/AN00009242/202307171/202307171_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307171/202307171_2.fastq.gz
AN00009242,202307180,/n/groups/kwon/joseph/projects/download/AN00009242/202307180/202307180_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307180/202307180_2.fastq.gz
AN00009242,202307194,/n/groups/kwon/joseph/projects/download/AN00009242/202307194/202307194_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307194/202307194_2.fastq.gz
AN00009242,202307202,/n/groups/kwon/joseph/projects/download/AN00009242/202307202/202307202_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307202/202307202_2.fastq.gz
AN00009242,202307215,/n/groups/kwon/joseph/projects/download/AN00009242/202307215/202307215_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307215/202307215_2.fastq.gz
AN00009242,202307220,/n/groups/kwon/joseph/projects/download/AN00009242/202307220/202307220_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307220/202307220_2.fastq.gz
AN00009242,202307224,/n/groups/kwon/joseph/projects/download/AN00009242/202307224/202307224_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307224/202307224_2.fastq.gz
AN00009242,202307231,/n/groups/kwon/joseph/projects/download/AN00009242/202307231/202307231_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307231/202307231_2.fastq.gz
AN00009242,202307245,/n/groups/kwon/joseph/projects/download/AN00009242/202307245/202307245_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307245/202307245_2.fastq.gz
AN00009242,202307247,/n/groups/kwon/joseph/projects/download/AN00009242/202307247/202307247_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307247/202307247_2.fastq.gz
AN00009242,202307258,/n/groups/kwon/joseph/projects/download/AN00009242/202307258/202307258_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307258/202307258_2.fastq.gz
AN00009242,202307265,/n/groups/kwon/joseph/projects/download/AN00009242/202307265/202307265_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307265/202307265_2.fastq.gz
AN00009242,202307271,/n/groups/kwon/joseph/projects/download/AN00009242/202307271/202307271_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307271/202307271_2.fastq.gz
AN00009242,202307273,/n/groups/kwon/joseph/projects/download/AN00009242/202307273/202307273_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307273/202307273_2.fastq.gz
AN00009242,202307283,/n/groups/kwon/joseph/projects/download/AN00009242/202307283/202307283_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307283/202307283_2.fastq.gz
AN00009242,202307286,/n/groups/kwon/joseph/projects/download/AN00009242/202307286/202307286_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307286/202307286_2.fastq.gz
AN00009242,202307293,/n/groups/kwon/joseph/projects/download/AN00009242/202307293/202307293_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202307293/202307293_2.fastq.gz
