sample	strain	community
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	34	2.422077e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	39	2.0233794e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	43	2.5760346e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	45	1.955051e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	46	3.080299e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	47	5.0739976e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	49	1.9858297e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	51	2.2782584e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	52	2.7962543e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	53	2.0508179e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	54	1.8946477e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	55	3.6516113e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	58	2.5026137e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	59	1.95732e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	60	2.62602e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	62	2.3425183e-07
